"s"	"Fx"	"Fy"	"Fz"
0.00000	0.11276	-0.06485	-0.15762
0.00100	0.11276	-0.06592	-0.15823
0.00200	0.11230	-0.06668	-0.15793
0.00300	0.11383	-0.06683	-0.15732
0.00400	0.11322	-0.06638	-0.15747
0.00500	0.11261	-0.06592	-0.15640
0.00600	0.11276	-0.06485	-0.15854
0.00700	0.11337	-0.06546	-0.15686
0.00800	0.11353	-0.06607	-0.15717
0.00900	0.11307	-0.06699	-0.15717
0.01000	0.11398	-0.06546	-0.15854
0.01100	0.11169	-0.06699	-0.15640
0.01200	0.11292	-0.06622	-0.15640
0.01300	0.11353	-0.06622	-0.15717
0.01400	0.11353	-0.06683	-0.15656
0.01500	0.11322	-0.06668	-0.15839
0.01600	0.11307	-0.06531	-0.15701
0.01700	0.11215	-0.06668	-0.15884
0.01800	0.11200	-0.06607	-0.15640
0.01900	0.11307	-0.06622	-0.15656
0.02000	0.11383	-0.06592	-0.15762
0.02100	0.11337	-0.06607	-0.15640
0.02200	0.11276	-0.06683	-0.15671
0.02300	0.11307	-0.06668	-0.15732
0.02400	0.11261	-0.06653	-0.15854
0.02500	0.11398	-0.06439	-0.15747
0.02600	0.11292	-0.06577	-0.15701
0.02700	0.11398	-0.06546	-0.15915
0.02800	0.11292	-0.06561	-0.15701
0.02900	0.11276	-0.06760	-0.15701
0.03000	0.11322	-0.06577	-0.15747
0.03100	0.11276	-0.06470	-0.15778
0.03200	0.11292	-0.06622	-0.15808
0.03300	0.11230	-0.06561	-0.15839
0.03400	0.11276	-0.06622	-0.15900
0.03500	0.11276	-0.06592	-0.15717
0.03600	0.11169	-0.06622	-0.15854
0.03700	0.11185	-0.06577	-0.15793
0.03800	0.11307	-0.06607	-0.15869
0.03900	0.11246	-0.06592	-0.15762
0.04000	0.11368	-0.06622	-0.15869
0.04100	0.11368	-0.06622	-0.15839
0.04200	0.11261	-0.06714	-0.15732
0.04300	0.11444	-0.06577	-0.15823
0.04400	0.11307	-0.06516	-0.15732
0.04500	0.11307	-0.06668	-0.15671
0.04600	0.11292	-0.06577	-0.15854
0.04700	0.11200	-0.06485	-0.15778
